CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,1,77183.6,2,Regular Customers
12347,2,7,4310.0,0,High-Value Customers
12348,75,4,1797.24,2,Regular Customers
12349,19,1,1757.55,2,Regular Customers
12350,310,1,334.4,1,At-Risk Customers
12352,36,8,2506.04,0,High-Value Customers
12353,204,1,89.0,1,At-Risk Customers
12354,232,1,1079.4,1,At-Risk Customers
12355,214,1,459.4,1,At-Risk Customers
12356,23,3,2811.43,2,Regular Customers
12357,33,1,6207.67,2,Regular Customers
12358,2,2,1168.06,2,Regular Customers
12359,58,4,6310.03,2,Regular Customers
12360,52,3,2662.06,2,Regular Customers
12361,287,1,189.9,1,At-Risk Customers
12362,3,10,5226.23,0,High-Value Customers
12363,110,2,552.0,1,At-Risk Customers
12364,8,4,1313.1,2,Regular Customers
12365,291,2,641.38,1,At-Risk Customers
12367,4,1,168.9,2,Regular Customers
12370,51,4,3541.94,2,Regular Customers
12371,45,2,1887.96,2,Regular Customers
12372,72,3,1298.04,2,Regular Customers
12373,311,1,364.6,1,At-Risk Customers
12374,25,1,742.9300000000001,2,Regular Customers
12375,11,2,457.5,2,Regular Customers
12377,315,2,1628.12,1,At-Risk Customers
12378,130,1,4008.62,2,Regular Customers
12379,82,2,852.24,2,Regular Customers
12380,22,4,2724.81,2,Regular Customers
12381,5,5,1845.31,0,High-Value Customers
12383,185,5,1850.56,2,Regular Customers
12384,29,2,585.27,2,Regular Customers
12386,338,2,401.9,1,At-Risk Customers
12388,16,6,2780.66,0,High-Value Customers
12390,80,1,549.84,1,At-Risk Customers
12391,22,1,439.66,2,Regular Customers
12393,72,4,1582.6000000000001,2,Regular Customers
12394,64,2,1272.48,2,Regular Customers
12395,19,12,3018.63,0,High-Value Customers
12397,36,2,2409.9,2,Regular Customers
12398,46,1,1635.6599999999999,2,Regular Customers
12399,119,4,1108.65,2,Regular Customers
12401,303,1,84.3,1,At-Risk Customers
12402,323,1,225.6,1,At-Risk Customers
12403,50,1,427.7,1,At-Risk Customers
12405,149,1,1710.39,1,At-Risk Customers
12406,22,2,3415.3,2,Regular Customers
12407,50,5,1708.1200000000001,2,Regular Customers
